Top 5 Movie Recommendations for UserID: 1 ==>[Cyclo (1995)  Predicted Score: 4.382758930148253, Office Killer (1997)  Predicted Score: 4.24082725472752, Little City (1998)  Predicted Score: 4.234925942215377, Death in Brunswick (1991)  Predicted Score: 4.224473123463171, Mamma Roma (1962)  Predicted Score: 4.178130372636395]
Top 5 Movie Recommendations for UserID: 2 ==>[They Made Me a Criminal (1939)  Predicted Score: 4.467509810319278, Death in Brunswick (1991)  Predicted Score: 4.444047688447103, Mamma Roma (1962)  Predicted Score: 4.370188177452161, All Things Fair (1996)  Predicted Score: 4.2893372597986685, Shadows (Cienie) (1988)  Predicted Score: 4.247929041311183]
Top 5 Movie Recommendations for UserID: 3 ==>[Getting Away With Murder (1996)  Predicted Score: 3.7652214407481117, Small Faces (1995)  Predicted Score: 3.7652214407481117, Entertaining Angels: The Dorothy Day Story (1996)  Predicted Score: 3.7422785815960067, Line King: Al Hirschfeld, The (1996)  Predicted Score: 3.7327392457079793, Girl in the Cadillac (1995)  Predicted Score: 3.599266069540987]
Top 5 Movie Recommendations for UserID: 4 ==>[I Don't Want to Talk About It (De eso no se habla) (1993)  Predicted Score: 5.000000000000001, Entertaining Angels: The Dorothy Day Story (1996)  Predicted Score: 5.0, Deceiver (1997)  Predicted Score: 4.883950755545, Further Gesture, A (1996)  Predicted Score: 4.878133182422271, Men of Means (1998)  Predicted Score: 4.853794877650324]
Top 5 Movie Recommendations for UserID: 5 ==>[Office Killer (1997)  Predicted Score: 3.998364973409178, Chairman of the Board (1998)  Predicted Score: 3.8572108545463686, Mamma Roma (1962)  Predicted Score: 3.717496973960379, Visitors, The (Visiteurs, Les) (1993)  Predicted Score: 3.692760229603712, Death in Brunswick (1991)  Predicted Score: 3.690264777565794]
Top 5 Movie Recommendations for UserID: 6 ==>[Death in Brunswick (1991)  Predicted Score: 4.071454839114556, They Made Me a Criminal (1939)  Predicted Score: 4.048207782312189, Aparajito (1956)  Predicted Score: 4.043503801993085, Substance of Fire, The (1996)  Predicted Score: 4.037207517219185, My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)  Predicted Score: 4.026899021240535]
Top 5 Movie Recommendations for UserID: 7 ==>[Reluctant Debutante, The (1958)  Predicted Score: 4.396894871997687, The Deadly Cure (1996)  Predicted Score: 4.362248384508596, Outlaw, The (1943)  Predicted Score: 4.349547842130858, Getting Away With Murder (1996)  Predicted Score: 4.3284773312026665, Small Faces (1995)  Predicted Score: 4.3284773312026665]
Top 5 Movie Recommendations for UserID: 8 ==>[Entertaining Angels: The Dorothy Day Story (1996)  Predicted Score: 5.0, Someone Else's America (1995)  Predicted Score: 4.5260708188277405, Visitors, The (Visiteurs, Les) (1993)  Predicted Score: 4.512852407776088, Jupiter's Wife (1994)  Predicted Score: 4.490785196494178, Getting Away With Murder (1996)  Predicted Score: 4.466911814491875]
Top 5 Movie Recommendations for UserID: 9 ==>[Chairman of the Board (1998)  Predicted Score: 4.735214017970199, Santa with Muscles (1996)  Predicted Score: 4.727996685835904, New Age, The (1994)  Predicted Score: 4.710822717673451, Tough and Deadly (1995)  Predicted Score: 4.695358031916246, Girl in the Cadillac (1995)  Predicted Score: 4.6764530322880855]
Top 5 Movie Recommendations for UserID: 10 ==>[Mirage (1995)  Predicted Score: 4.470254992277516, The Deadly Cure (1996)  Predicted Score: 4.399119410781721, Office Killer (1997)  Predicted Score: 4.37878985494447, Outlaw, The (1943)  Predicted Score: 4.362550980951062, Witness (1985)  Predicted Score: 4.360570614081414]
